STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,TAVG,TSUN,WT01,WT02,WT03,WT04,WT08,WT09,WT11,WT13,WT15,WT16,WT18,WT19,WT21,WT22
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/6/2001,,,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/18/2002,,0,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/19/2002,,0.02,72,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,11/29/2002,,0,63,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/25/2003,,0.26,69,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,1/29/2003,,0.77,76,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,2/4/2003,,0.58,67,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/7/2003,,0,62,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,4/15/2003,,0.03,51,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,5/23/2003,,0,53,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,7/7/2003,,0,47,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/1/2003,,0,68,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,12/18/2003,,0,61,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/5/2004,,0,47,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,6/9/2004,,0,40,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,8/30/2004,,0,56,,,,,,,,,,,,,,,
SF001771780,"BARKLY EAST, SF",-30.933,27.6,1819,9/7/2004,,0,34,,,,,,,,,,,,,,,
